순번	토지소재지	지목	면적(m²)	비고
1	여주시 북내면 상교리 375-1	전	99	
2	여주시 북내면 상교리 383-1	임야	528	
3	여주시 북내면 상교리 384-4	대	600	
4	여주시 북내면 상교리 384-5	임야	611	
5	여주시 북내면 상교리 384-10	임야	15,092	
6	여주시 북내면 상교리 384-11	도로	750	
7	여주시 북내면 상교리 384-12	대	998	
8	여주시 북내면 상교리 384-13	임야	4,987	
9	여주시 북내면 상교리 384-14	임야	806	
10	여주시 북내면 상교리 384-15	임야	806	
11	여주시 북내면 상교리 384-16	임야	2,418	
12	여주시 북내면 상교리 384-17	임야	1,240	
13	여주시 북내면 상교리 384-25	임야	249	
14	여주시 북내면 상교리 384-26	임야	2,503	
15	여주시 북내면 상교리 385	전	185	
16	여주시 북내면 상교리 452	전	5,716	
17	여주시 북내면 상교리 452-1	전	362	
18	여주시 북내면 상교리 452-3	도로	95	
19	여주시 북내면 상교리 452-5	도로	75	
20	여주시 북내면 상교리 461	도로	341	
21	여주시 북내면 상교리 462	전	382	
22	여주시 북내면 상교리 463	구거	457	
23	여주시 북내면 상교리 464	전	2,556	
24	여주시 북내면 상교리 465	도로	823	
25	여주시 북내면 상교리 466	유지	410	
26	여주시 북내면 상교리 452-2	대	702	
27	여주시 북내면 상교리 452-4	전	1,150	
28	여주시 북내면 상교리 384-18	임야	85,677	주)경기녹화조경
29	여주시 북내면 상교리 384-19	목장용지	1,110	
30	여주시 북내면 상교리 384-20	목장용지	3,272	
31	여주시 북내면 상교리 384-21	임야	16,160	
32	여주시 북내면 상교리 384-22	임야	126	
33	여주시 북내면 상교리 384-23	임야	7,332	
34	여주시 북내면 상교리 산 29	임야	29,130	
35	여주시 북내면 상교리 산 29-1	임야	9,917	
36	여주시 북내면 상교리 산 29-2	임야	6,617	
37	여주시 북내면 상교리 산 29-3	임야	826	
38	여주시 북내면 상교리 산 29-4	임야	1,113	
39	여주시 북내면 상교리 383-8	임야	660	
40	여주시 북내면 상교리 산 31	임야	41,847	주)경기녹화조경
41	여주시 북내면 상교리 산 31-1	임야	67,541	
Total			316,270	
